208, RUE DE RIVOLI, 75001 Paris, France
201, RUE SAINT HONORE, 75001 Paris, France
324, RUE SAINT HONORE, 75001 Paris, France
1, RUE SAINT HYACINTHE, 75001 Paris, France
12, RUE SAINT HYACINTHE, 75001 Paris, France
3, RUE SAINT ROCH, 75001 Paris, France
53, RUE SAINT ROCH, 75001 Paris, France
3, RUE DU VINGT NEUF JUILLET, 75001 Paris, France
11, RUE DU VINGT NEUF JUILLET, 75001 Paris, France
1, SQUARE JOUVENET, 75016 Paris, France
35, SQUARE JOUVENET, 75016 Paris, France
1, RUE JOUVENET, 75016 Paris, France
26, RUE JOUVENET, 75016 Paris, France
1, RUE LANCRET, 75016 Paris, France
10, RUE LANCRET, 75016 Paris, France
102, QUAI LOUIS BLERIOT, 75016 Paris, France
146, QUAI LOUIS BLERIOT, 75016 Paris, France
1, RUE DE MUSSET, 75016 Paris, France
14, RUE DE MUSSET, 75016 Paris, France
118, AVENUE DE VERSAILLES, 75016 Paris, France
159, AVENUE DE VERSAILLES, 75016 Paris, France
1 ter, GRANDE AV DE LA VILLA DE LA REUNION, 75016 Paris, France
26, GRANDE AV DE LA VILLA DE LA REUNION, 75016 Paris, France
1, RUE AUGUSTE MAQUET, 75016 Paris, France
12, RUE AUGUSTE MAQUET, 75016 Paris, France
6, RUE DAUMIER, 75016 Paris, France
14, RUE DAUMIER, 75016 Paris, France
1, BOULEVARD EXELMANS, 75016 Paris, France
21, BOULEVARD EXELMANS, 75016 Paris, France
2, RUE FANTIN LATOUR, 75016 Paris, France
25, RUE FANTIN LATOUR, 75016 Paris, France
158, QUAI LOUIS BLERIOT, 75016 Paris, France
182, QUAI LOUIS BLERIOT, 75016 Paris, France
183, BOULEVARD MURAT, 75016 Paris, France
191, BOULEVARD MURAT, 75016 Paris, France
1, RUE VAN LOO, 75016 Paris, France
23, RUE VAN LOO, 75016 Paris, France
75, RUE BOILEAU, 75016 Paris, France
106, RUE BOILEAU, 75016 Paris, France
2, RUE CHAPU, 75016 Paris, France
12, RUE CHAPU, 75016 Paris, France
82, RUE CHARDON LAGACHE, 75016 Paris, France
101, RUE CHARDON LAGACHE, 75016 Paris, France
1, RUE CHARLES MARIE WIDOR, 75016 Paris, France
8, RUE CHARLES MARIE WIDOR, 75016 Paris, France
18, BOULEVARD EXELMANS, 75016 Paris, France
39 bis, BOULEVARD EXELMANS, 75016 Paris, France
134, AVENUE DE VERSAILLES, 75016 Paris, France
193, AVENUE DE VERSAILLES, 75016 Paris, France
6, VILLA CHEYSSON, 75016 Paris, France
18, VILLA CHEYSSON, 75016 Paris, France
2, VILLA DIETZ MONNIN, 75016 Paris, France
28, VILLA DIETZ MONNIN, 75016 Paris, France
1, VILLA EMILE MEYER, 75016 Paris, France
34, VILLA EMILE MEYER, 75016 Paris, France
4, RUE LE MAROIS, 75016 Paris, France
45, RUE LE MAROIS, 75016 Paris, France
91, RUE MICHEL ANGE, 75016 Paris, France
139, RUE MICHEL ANGE, 75016 Paris, France
3, RUE PARENT DE ROSAN, 75016 Paris, France
19, RUE PARENT DE ROSAN, 75016 Paris, France
192, AVENUE DE VERSAILLES, 75016 Paris, France
232, AVENUE DE VERSAILLES, 75016 Paris, France
10, RUE DU COMMANDANT GUILBAUD, 75016 Paris, France
24, RUE DU COMMANDANT GUILBAUD, 75016 Paris, France
6, PLACE DU DOCTEUR PAUL MICHAUX, 75016 Paris, France
14, PLACE DU DOCTEUR PAUL MICHAUX, 75016 Paris, France
14, AVENUE FERDINAND BUISSON, 75016 Paris, France
3, RUE DU GENERAL ROQUES, 75016 Paris, France
5, RUE DU GENERAL ROQUES, 75016 Paris, France
3, PLACE DU GENERAL STEFANIK, 75016 Paris, France
2, RUE GUDIN, 75016 Paris, France
17, RUE GUDIN, 75016 Paris, France
28, RUE LE MAROIS, 75016 Paris, France
57, RUE LE MAROIS, 75016 Paris, France
2, PLACE LEON DEUBEL, 75016 Paris, France
14, PLACE LEON DEUBEL, 75016 Paris, France
1, RUE DU LIEUTENANT COLONEL DEPORT, 75016 Paris, France
4, RUE DU LIEUTENANT COLONEL DEPORT, 75016 Paris, France
3, AVENUE MARCEL DORET, 75016 Paris, France
6, AVENUE MARCEL DORET, 75016 Paris, France
82, BOULEVARD MURAT, 75016 Paris, France
129 bis, BOULEVARD MURAT, 75016 Paris, France
23, AVENUE DU PARC DES PRINCES, 75016 Paris, France
31, AVENUE DU PARC DES PRINCES, 75016 Paris, France
2, PLACE DE LA PORTE DE SAINT CLOUD, 75016 Paris, France
8, PLACE DE LA PORTE DE SAINT CLOUD, 75016 Paris, France
1, RUE DU SERGENT MAGINOT, 75016 Paris, France
12, RUE DU SERGENT MAGINOT, 75016 Paris, France
217, AVENUE DE VERSAILLES, 75016 Paris, France
219, AVENUE DE VERSAILLES, 75016 Paris, France
1, SQUARE DE LA BRESSE, 75016 Paris, France
6, SQUARE DE LA BRESSE, 75016 Paris, France
1, RUE CHARLES TELLIER, 75016 Paris, France
13, RUE CHARLES TELLIER, 75016 Paris, France
8, RUE CLAUDE TERRASSE, 75016 Paris, France
55, RUE CLAUDE TERRASSE, 75016 Paris, France
1, RUE DAUMIER, 75016 Paris, France
15, RUE DAUMIER, 75016 Paris, France
4, VILLA DUFRESNE, 75016 Paris, France
21, VILLA DUFRESNE, 75016 Paris, France
1, RUE DU GENERAL GROSSETTI, 75016 Paris, France
11, RUE DU GENERAL GROSSETTI, 75016 Paris, France
11, RUE LE MAROIS, 75016 Paris, France
19, RUE LE MAROIS, 75016 Paris, France
130, BOULEVARD MURAT, 75016 Paris, France
177 bis, BOULEVARD MURAT, 75016 Paris, France
2, VILLA MURAT, 75016 Paris, France
14, VILLA MURAT, 75016 Paris, France
1, VILLA SOMMEILLER, 75016 Paris, France
16, VILLA SOMMEILLER, 75016 Paris, France
1, RUE ABEL FERRY, 75016 Paris, France
12, RUE ABEL FERRY, 75016 Paris, France
2, AVENUE DODE DE LA BRUNERIE, 75016 Paris, France
26, AVENUE DODE DE LA BRUNERIE, 75016 Paris, France
15, AVENUE FELIX D HERELLE, 75016 Paris, France
14, AVENUE DU GENERAL CLAVERY, 75016 Paris, France
24, AVENUE DU GENERAL CLAVERY, 75016 Paris, France
4, RUE DU GENERAL MALLETERRE, 75016 Paris, France
19, RUE DU GENERAL MALLETERRE, 75016 Paris, France
8, RUE DU GENERAL NIOX, 75016 Paris, France
18, RUE DU GENERAL NIOX, 75016 Paris, France
82, AVENUE GEORGES LAFONT, 75016 Paris, France
8, RUE DE LA PETITE ARCHE, 75016 Paris, France
8, QUAI SAINT EXUPERY, 75016 Paris, France
8, RUE DES BATIGNOLLES, 75017 Paris, France
40, RUE DES BATIGNOLLES, 75017 Paris, France
2, RUE BIOT, 75017 Paris, France
27, RUE BIOT, 75017 Paris, France
2, RUE BRIDAINE, 75017 Paris, France
11, RUE BRIDAINE, 75017 Paris, France
5, PLACE DE CLICHY, 75017 Paris, France
17, RUE DES DAMES, 75017 Paris, France
46, RUE DES DAMES, 75017 Paris, France
11, RUE DARCET, 75017 Paris, France
28, RUE DARCET, 75017 Paris, France
55, RUE LA CONDAMINE, 75017 Paris, France
70, RUE LA CONDAMINE, 75017 Paris, France
12, RUE LECLUSE, 75017 Paris, France
29, RUE LECLUSE, 75017 Paris, France
33, RUE TRUFFAUT, 75017 Paris, France
39, RUE TRUFFAUT, 75017 Paris, France
44, RUE DES BATIGNOLLES, 75017 Paris, France
64, RUE DES BATIGNOLLES, 75017 Paris, France
64, PLACE DU DOCTEUR FELIX LOBLIGEOIS, 75017 Paris, France
68, PLACE DU DOCTEUR FELIX LOBLIGEOIS, 75017 Paris, France
34, RUE LA CONDAMINE, 75017 Paris, France
54, RUE LA CONDAMINE, 75017 Paris, France
2, RUE LAMANDE, 75017 Paris, France
24, RUE LAMANDE, 75017 Paris, France
78, RUE LEGENDRE, 75017 Paris, France
82, RUE LEGENDRE, 75017 Paris, France
37, RUE NOLLET, 75017 Paris, France
82, RUE NOLLET, 75017 Paris, France
38, RUE TRUFFAUT, 75017 Paris, France
72, RUE TRUFFAUT, 75017 Paris, France
1, RUE DE BIZERTE, 75017 Paris, France
14, RUE DE BIZERTE, 75017 Paris, France
27, RUE LA CONDAMINE, 75017 Paris, France
51, RUE LA CONDAMINE, 75017 Paris, France
15, RUE LEMERCIER, 75017 Paris, France
37, RUE LEMERCIER, 75017 Paris, France
1, RUE NOLLET, 75017 Paris, France
44, RUE NOLLET, 75017 Paris, France
1, RUE TRUFFAUT, 75017 Paris, France
34, RUE TRUFFAUT, 75017 Paris, France
3, AVENUE DE CLICHY, 75017 Paris, France
71, AVENUE DE CLICHY, 75017 Paris, France
1, RUE DES DAMES, 75017 Paris, France
12, RUE DES DAMES, 75017 Paris, France
5, RUE HELENE, 75017 Paris, France
18, RUE HELENE, 75017 Paris, France
1, RUE LA CONDAMINE, 75017 Paris, France
25, RUE LA CONDAMINE, 75017 Paris, France
1, RUE LECHAPELAIS, 75017 Paris, France
15, RUE LECHAPELAIS, 75017 Paris, France
2, CITE LEMERCIER, 75017 Paris, France
28, CITE LEMERCIER, 75017 Paris, France
1, RUE LEMERCIER, 75017 Paris, France
36, RUE LEMERCIER, 75017 Paris, France
2, COUR SAINT PIERRE, 75017 Paris, France
8, COUR SAINT PIERRE, 75017 Paris, France
27, RUE DES BATIGNOLLES, 75017 Paris, France
61, RUE DES BATIGNOLLES, 75017 Paris, France
19, RUE BOURSAULT, 75017 Paris, France
83, RUE BOURSAULT, 75017 Paris, France
14, RUE BRIDAINE, 75017 Paris, France
21, RUE BRIDAINE, 75017 Paris, France
63, PLACE DU DOCTEUR FELIX LOBLIGEOIS, 75017 Paris, France
75, PLACE DU DOCTEUR FELIX LOBLIGEOIS, 75017 Paris, France
69, RUE LA CONDAMINE, 75017 Paris, France
94, RUE LA CONDAMINE, 75017 Paris, France
59, RUE LEGENDRE, 75017 Paris, France
72, RUE LEGENDRE, 75017 Paris, France
1, RUE CHRISTINE DE PISAN, 75017 Paris, France
12, RUE CHRISTINE DE PISAN, 75017 Paris, France
4, RUE DE LA CRECHE, 75017 Paris, France
10, RUE DE LA CRECHE, 75017 Paris, France
1, SQUARE PAUL PARAY, 75017 Paris, France
120, RUE DE SAUSSURE, 75017 Paris, France
164, RUE DE SAUSSURE, 75017 Paris, France
4, RUE ALBERT ROUSSEL, 75017 Paris, France
26, RUE ALBERT ROUSSEL, 75017 Paris, France
14, RUE ANDRE SUARES, 75017 Paris, France
22, RUE ANDRE SUARES, 75017 Paris, France
4, BOULEVARD BERTHIER, 75017 Paris, France
76, BOULEVARD BERTHIER, 75017 Paris, France
6, BOULEVARD DE DOUAUMONT, 75017 Paris, France
24, BOULEVARD DE DOUAUMONT, 75017 Paris, France
14, BOULEVARD DU FORT DE VAUX, 75017 Paris, France
2, RUE MARGUERITE LONG, 75017 Paris, France
18, RUE MARGUERITE LONG, 75017 Paris, France
2, AVENUE DE LA PORTE D ASNIERES, 75017 Paris, France
26 A, AVENUE DE LA PORTE D ASNIERES, 75017 Paris, France
9, AVENUE DE LA PORTE DE CLICHY, 75017 Paris, France
3, RUE STEPHANE GRAPPELLI, 75017 Paris, France
170, RUE STEPHANE GRAPPELLI, 75017 Paris, France
21, RUE CLAIRAUT, 75017 Paris, France
30, RUE CLAIRAUT, 75017 Paris, France
70, PLACE DU DOCTEUR FELIX LOBLIGEOIS, 75017 Paris, France
80, PLACE DU DOCTEUR FELIX LOBLIGEOIS, 75017 Paris, France
67, RUE LEGENDRE, 75017 Paris, France
110, RUE LEGENDRE, 75017 Paris, France
41, RUE LEMERCIER, 75017 Paris, France
97, RUE LEMERCIER, 75017 Paris, France
2 bis, RUE DES MOINES, 75017 Paris, France
28, RUE DES MOINES, 75017 Paris, France
73, RUE NOLLET, 75017 Paris, France
106, RUE NOLLET, 75017 Paris, France
69, RUE TRUFFAUT, 75017 Paris, France
92, RUE TRUFFAUT, 75017 Paris, France
2, RUE BROCHANT, 75017 Paris, France
29, RUE BROCHANT, 75017 Paris, France
154, RUE CARDINET, 75017 Paris, France
168 bis, RUE CARDINET, 75017 Paris, France
2, PLACE CHARLES FILLION, 75017 Paris, France
26, PLACE CHARLES FILLION, 75017 Paris, France
103, RUE LEMERCIER, 75017 Paris, France
109 bis, RUE LEMERCIER, 75017 Paris, France
3, RUE DES MOINES, 75017 Paris, France
17, RUE DES MOINES, 75017 Paris, France
89, RUE NOLLET, 75017 Paris, France
120, RUE NOLLET, 75017 Paris, France
1, SQUARE NOLLET, 75017 Paris, France
4, SQUARE NOLLET, 75017 Paris, France
77, RUE TRUFFAUT, 75017 Paris, France
438, RUE TRUFFAUT, 75017 Paris, France
1, RUE CLAIRAUT, 75017 Paris, France
20, RUE CLAIRAUT, 75017 Paris, France
77, AVENUE DE CLICHY, 75017 Paris, France
111, AVENUE DE CLICHY, 75017 Paris, France
3, VILLA JACQUEMONT, 75017 Paris, France
14, VILLA JACQUEMONT, 75017 Paris, France
1, RUE JACQUEMONT, 75017 Paris, France
20, RUE JACQUEMONT, 75017 Paris, France
2, RUE LA CONDAMINE, 75017 Paris, France
28, RUE LA CONDAMINE, 75017 Paris, France
1, RUE LECOMTE, 75017 Paris, France
9, RUE LECOMTE, 75017 Paris, France
95 bis, RUE LEGENDRE, 75017 Paris, France
130, RUE LEGENDRE, 75017 Paris, France
40, RUE LEMERCIER, 75017 Paris, France
82, RUE LEMERCIER, 75017 Paris, France
24, RUE BROCHANT, 75017 Paris, France
96, RUE BROCHANT, 75017 Paris, France
157, RUE CARDINET, 75017 Paris, France
192, RUE CARDINET, 75017 Paris, France
113, AVENUE DE CLICHY, 75017 Paris, France
149, AVENUE DE CLICHY, 75017 Paris, France
1, RUE FOURNEYRON, 75017 Paris, France
84, RUE LEMERCIER, 75017 Paris, France
114, RUE LEMERCIER, 75017 Paris, France
32, RUE DES MOINES, 75017 Paris, France
85, RUE DES MOINES, 75017 Paris, France
1, RUE SAUFFROY, 75017 Paris, France
26, RUE SAUFFROY, 75017 Paris, France
66, AVENUE DE CLICHY, 75017 Paris, France
88, AVENUE DE CLICHY, 75017 Paris, France
1, RUE DAUTANCOURT, 75017 Paris, France
45, RUE DAUTANCOURT, 75017 Paris, France
1, RUE DAVY, 75017 Paris, France
9, RUE DAVY, 75017 Paris, France
136, RUE LEGENDRE, 75017 Paris, France
166, RUE LEGENDRE, 75017 Paris, France
